Date,Temp,线性回归,二次多项式回归,三次多项式回归,岭回归,随机森林,多层神经元
1981-01-01,20.7,16.21875,19.7734375,20.700000000000394,15.957939505704882,18.527293579753902,15.6692915
1981-01-02,17.9,16.40625,19.5234375,17.90000000000043,16.155828468944406,18.042014397279996,15.71577
1981-01-03,18.8,15.65625,20.3984375,18.800000000000363,15.643841584308294,17.89636046054185,15.660599
1981-01-04,14.6,15.53125,17.484375,14.600000000000092,15.49669338615649,17.360099021408487,17.25673
1981-01-05,15.8,15.34375,18.28125,15.800000000000232,15.259830160827377,17.69114343102025,17.618605
1981-01-06,15.8,15.78125,18.1015625,15.800000000000205,15.777279721484826,17.11957497789601,17.491371
1981-01-07,15.8,15.96875,18.765625,15.799999999999851,15.85957406903854,16.940045918455798,17.38972
1981-01-08,17.4,15.6875,17.5703125,17.399999999999753,15.519688469777268,17.371186985076953,17.789251
1981-01-09,21.8,15.5625,20.4296875,21.799999999999965,15.463898301124933,18.049524440818203,17.768389
1981-01-10,20.0,15.3125,17.7265625,19.999999999999815,15.422605856872165,18.120412605808443,17.272318
1981-01-11,16.2,15.15625,15.7578125,16.200000000000355,15.149614213952031,17.80819251180791,17.201303
1981-01-12,13.3,15.34375,17.1796875,13.300000000000104,15.239311366501557,17.65751671399682,17.636627
1981-01-13,16.7,15.0625,16.46875,16.700000000000422,15.033012948997019,17.556852791424905,17.363146
1981-01-14,21.5,15.84375,20.5234375,21.500000000000895,15.794597376969296,18.00720254151356,17.153402
1981-01-15,25.0,16.03125,20.0078125,25.00000000000026,15.998595387456064,19.192612586904225,17.676043
1981-01-16,20.7,15.53125,18.96875,20.700000000000305,15.691604928850765,18.8884275534244,16.661903
1981-01-17,20.6,14.84375,18.8828125,20.599999999999937,15.237421098697293,19.118045440784716,15.964323
1981-01-18,24.8,14.71875,19.1796875,24.800000000000054,15.023199288622175,19.989043018662265,15.755173
1981-01-19,17.7,15.03125,18.0625,17.69999999999994,15.18274815096118,18.219108147783786,16.56659
1981-01-20,15.5,15.21875,17.375,15.49999999999999,15.357086223089299,18.438768964355717,16.217043
1981-01-21,18.2,15.03125,17.859375,18.19999999999998,15.181242746899585,18.020023344386757,16.312351
1981-01-22,12.1,14.75,14.65625,12.09999999999993,14.903625731627741,14.977064802919193,16.994442
1981-01-23,14.4,15.15625,14.7890625,14.399999999999865,15.29571844539023,15.29895149474171,16.956657
1981-01-24,16.0,14.71875,16.8359375,16.000000000000032,15.049631680342287,15.732102447845577,16.61379
1981-01-25,16.5,15.0,17.734375,16.500000000000238,15.293743400105775,16.141075687693245,16.866035
1981-01-26,18.7,14.84375,18.6328125,18.700000000000184,14.988243117307416,17.043673683307368,17.010593
1981-01-27,19.4,14.84375,17.65625,19.400000000000194,15.05494108859086,16.845490139614377,16.784256
1981-01-28,17.2,15.375,18.578125,17.199999999999868,15.5223827438254,16.468178422576734,16.462454
1981-01-29,15.5,15.5625,17.4296875,15.49999999999998,15.746357054660638,15.807156276511094,16.335535
1981-01-30,15.1,15.59375,17.2109375,15.09999999999985,15.851131053873642,15.770943273231099,16.304764
1981-01-31,15.4,15.125,18.0390625,15.399999999999807,15.449588290684368,15.696489198342745,15.898728
1981-02-01,15.3,16.03125,17.9765625,15.300000000000088,15.93649516507605,17.240410021088525,15.781903
1981-02-02,18.8,16.46875,17.9140625,18.800000000000075,16.316777311950336,18.954379067276072,16.170713
1981-02-03,21.9,15.96875,18.9921875,21.89999999999994,15.944683063969922,18.061805264935188,16.004707
1981-02-04,19.9,16.40625,18.28125,19.90000000000006,16.25349338059508,17.49382899175868,15.915818
1981-02-05,16.6,15.90625,15.6953125,16.599999999999937,15.747178813051473,16.9932881409529,15.8741
1981-02-06,16.8,16.15625,17.546875,16.799999999999883,16.124124734312176,17.058718371948594,15.836438
1981-02-07,14.6,16.09375,16.59375,14.600000000000307,16.08687830956056,17.123808179858383,15.338454
1981-02-08,17.1,15.78125,18.9296875,17.10000000000067,15.651123002713302,17.56299359757113,15.370053
1981-02-09,25.0,15.90625,21.59375,24.999999999999993,15.777726017695729,19.695369773959076,15.731957
1981-02-10,15.0,15.96875,17.3515625,15.000000000000403,15.87632621009866,17.830950888096833,15.50831
1981-02-11,13.7,16.03125,15.6796875,13.699999999999974,15.906414208390622,16.834730814107857,15.542549
1981-02-12,13.9,15.90625,15.3828125,13.899999999999768,15.726660018725653,16.964712248365036,15.328161
1981-02-13,18.3,15.46875,17.5859375,18.29999999999997,15.37985796182437,17.53046798486297,15.1571665
