,prediction
0,22.171232888899
1,35.5570321124483
2,20.89439709701914
3,20.196098877849746
4,20.026891737656406
5,21.217008683580207
6,30.827641233284375
7,28.814574124166594
8,24.626251387689884
9,12.517372072989687
10,21.668093954196333
11,26.014192631414023
12,20.34518115989973
13,23.266336598822654
14,22.114376694896595
15,13.075543614037606
16,17.137684968040276
17,21.97900546247809
18,27.37081989968526
19,28.01916787525009
20,24.414481766502824
21,34.36001821451635
22,23.942748917671228
23,26.83103320938567
24,33.13236879586303
25,13.131046180576273
26,20.661622251889952
27,17.395372498221334
28,24.905995524685647
29,25.93687133553837
30,25.430317129480397
31,24.81956863546133
32,17.66949657100251
33,13.139044129995941
34,22.140296351904816
35,35.503029043064444
36,16.230875150512357
37,19.89717174582239
38,23.063695968898806
39,20.007358116675604
40,32.847770960899624
41,25.727534700806007
42,30.950156442828817
43,23.70226828526387
44,21.412324936558484
45,13.110493159161038
46,33.156802868244476
47,20.245350728198453
48,-5.210919305281877
49,27.52962052469519
50,25.09858909694323
51,13.965315079747924
52,14.090191675579355
53,27.386046133246523
54,14.217716391992276
55,25.464578470160397
56,17.742019649466293
57,19.337714166537324
58,35.67022047380543
59,26.05415131297765
60,32.576001762305225
61,24.5653325933872
62,31.753666108347264
63,28.137987689785767
64,31.058954764281268
65,24.53318847148043
66,23.37137552804433
67,30.554845437977
68,32.2827633534542
69,20.873958202867968
70,24.734845824845888
71,19.611254465423087
72,36.94909625405684
73,41.49006389364994
74,23.052040501893778
75,18.45466235080051
76,15.931001820047143
77,36.02683399774007
78,14.71237393560763
79,5.089461362937236
80,10.765022683295449
81,30.20968135383625
82,2.2021624982799466
83,26.259174928375813
84,30.304087030891367
85,22.447459190198813
86,-0.43339199825021524
87,13.180027871136438
88,33.63212884458475
89,14.988058347013272
90,17.083335068548557
91,42.668710319841416
92,23.823079536742235
93,22.52783590857054
94,28.809585720291892
95,20.59345661736913
96,12.732716514684071
97,16.768904645838113
98,26.39741601152866
99,24.494221830640488
100,24.935370839925802
101,43.81773618043325
